Application mode,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Class
8.0,1.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,1.0,0.0,0.0,1.0,0.0,19.0,6.0,6.0,6.0,14.0,6.0,6.0,6.0,13.666666666666666,2
1.0,1.0,0.0,0.0,1.0,0.0,19.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
8.0,1.0,0.0,1.0,0.0,0.0,20.0,6.0,8.0,6.0,13.428571428571429,6.0,10.0,5.0,12.4,2
12.0,0.0,0.0,1.0,0.0,0.0,45.0,6.0,9.0,5.0,12.333333333333334,6.0,6.0,6.0,13.0,2
12.0,0.0,1.0,1.0,1.0,0.0,50.0,5.0,10.0,5.0,11.857142857142858,5.0,17.0,5.0,11.5,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,7.0,9.0,7.0,13.3,8.0,8.0,8.0,14.345,2
9.0,1.0,0.0,0.0,1.0,0.0,22.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0
1.0,0.0,0.0,1.0,0.0,1.0,21.0,6.0,8.0,6.0,13.875,6.0,7.0,6.0,14.142857142857142,2
1.0,1.0,1.0,0.0,0.0,0.0,18.0,6.0,9.0,5.0,11.4,6.0,14.0,2.0,13.5,0
1.0,1.0,0.0,1.0,0.0,0.0,18.0,6.0,6.0,6.0,12.333333333333334,6.0,7.0,5.0,14.2,2
1.0,1.0,0.0,1.0,0.0,1.0,18.0,8.0,8.0,7.0,13.214285714285714,8.0,8.0,7.0,13.214285714285714,2
1.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0
